READ_CONTACTS|INTERNET|通讯信息泄露
READ_SMS|INTERNET|短信信息泄露
PROCESS_OUTGOING_CALLS|INTERNET|通话记录信息泄露
WRITE_EXTERNAL_STORAGE|INTERNET|存储文件泄露
ACCESS_FINE_LOCATIO|RECEIVE_BOOT_COMPLETE|INTERNET|通过GPS精确位置信息泄露
ACCESS_COARSE_LOCATION|RECEIVE_BOOT_COMPLETE|INTERNET|允许应用访问范围(如WIFI)性的定位
ACCESS_NETWORK_STATE|INTERNET|互联网通讯信息
PHONE_STATE|RECORD_AUDIO|INTERNET|通话内容泄露
READ_PHONE_STATE|INTERNET|读取手机信息
CLEAR_APP_USER_DATA|清除用户数据
CLEAR_APP_CACHE|清除应用缓存
DELETE_PACKAGES|删除应用
MASTER_CLEAR|软格式化
MOUNT_FORMAT_FILESYSTEMS|格式化文件系统
WRITE_SETTINGS|读写系统设置
SET_DEBUG_APP|设置一个应用为调试模式
UNINSTALL_SHORTCUT|卸载快捷方式
INSTALL_SHORTCUT|安装快捷方式
REBOOT|重启设备
RECEIVE_BOOT_COMPLETED|开机自动允许
RESTART_PACKAGES|结束系统任务
SEND_SMS|发送短信
WRITE_SMS|写短信
CALL_PHONE|允许程序从非系统拨号器里输入电话号码
CALL_PRIVILEGED|允许程序拨打电话，替换系统的拨号器界面
ACCESS_NETWORK_STATE|连接GSM
INTERNET|连接网络
